In 100 Gramm	kcal	 kjoule	 BE	 KH (g)	 F (g)	 EW (g)
Adams Brot, LowCarb-Brot, Glutenbrot, Eiweißbrot	270	1134	0	1,9	13,3	33
Agar-Agar (Bindemittel)	347	1457	3	36	2	43
Allgäuer Hartkäse	395	1650	0	0	32	27
Apfelpektin	185	775	2	23	0	21,5
Appenzeller 50 % Fett i. Tr.	386	1634	0	0	31,5	25,5
Bergkäse, 45 % Fett in Trockenmasse	401	1683	0	0	30	29
Bierhefe, getrocknet	357	1500	3	31	4,4	45
Blauschimmelkäse, 50 % Fett in Trockenmasse	357	1481	0	0	29,5	22,9
Bohnen, weiß, reif (stark basisch wirkend)	260	1102	3	40,1	1,6	21,3
Braunschweiger Mettwurst 	380	1597	0	0,2	31,5	20,6
Bresaola (italienischer luftgetrockneter Rinderschinken)	174	729	0	0,5	4	32
Brie, Tortenbrie 45 % Fett in Trockenmasse	280	1164	0	0	21,8	21
Brie, Tortenbrie 50 % Fett in Trockenmasse	344	1430	0	0	27,9	22,6
Brühe, gekörnt	197	826	0,5	5	9	24
Brühe, Instantpulver (Instantbrühe)	240	1005	1	10	12	23
Brühwürfel, fettreich	337	1401	0,5	6	25	22
Bücklinge	224	934	0	0	15,5	21,2
Büffelfleisch, Büffel-Saftgulasch (roh)	115	484	0	0	2	23
Bündnerfleisch, Bündner Fleisch, Bündener Fleisch (Rindfleisch, Trockenfleisch, Dörrfleisch)	253	1071	0	0	9,6	39
Buntbarsch, Tilapia (roh)	93	392	0	0	1	20
Butterkäse, 50 % Fett in Trockenmasse	344	1424	0	0	28,8	21,1
Cabanossi, Kabanossi	425	1758	0	0,1	37,4	21,9
Camembert, 30 % Fett in Trockenmasse	216	899	0	0	13,5	23,5
Camembert, 45 % Fett in Trockenmasse	285	1182	0	0	22,3	21
Cashew-Nuss, gesalzen und geröstet (Kaschunuss)	615	2551	1,5	18,8	50,9	20,5
Cervelatwurst, Zervelatwurst	375	1568	0	0	31,9	22
Cheddar	405	1714	0	0	34	24,9
Chester Halbfettstufe	254	1069	0	0	12	34
Chester Rahmstufe	402	1689	0	0	32	24,9
Chester Vollfettstufe	383	1609	0	0	29	27
Chicken-Nuggets (Hähnchen Taler, Chicken Chips, Hähnchennuggets)	190	798	2	10	7	20
Chilikäse (Schnittkäse)	375	1573	0	1	29	24
Chlorella-Alge, getrocknet (grüne Süßwasser-Algen)	428	1798	1,5	18	11	60
Chorizo, spanische Paprika-Salami	399	1677	0	1	33	21
Corned Beef	141	591	0	0	6	21,7
Dill, getrocknet	373	1566	0,5	46,3	8,4	25
Döner Kebab (Kabab, Kabob, Kebap)	258	1087	0,5	3,5	15	25
Dürüm Döner	249	1044	0	1	15	25
Edamer, 30 % Fett in Trockenmasse	251	1048	0	0	16,2	26,4
Edamer, 45 % Fett in Trockenmasse	315	1308	0	0	23,4	26
Edamer, 60 % Fett in Trockenmasse	354	1469	0	0	28,3	24,8
Ei-Eiweiß-Pulver, Eiprotein-Pulver	348	1462	0	0,9	0,9	80
Eiweiß-Toastbrötchen, LowCarb-Brötchen, Gluten-Brötchen, Eiweiß-Brötchen	264	1109	1	11,3	11,4	26,6
Eiweißbrot, LowCarb-Brot, Glutenbrot	236	990	1	9	11	23
Emmentaler, 45 % Fett in Trockenmasse (Emmenthaler)	382	1587	0	0	29,7	28,7
Erbsen, gelb, getrocknet	309	1298	4,5	49	1,5	23
Erbsen, grün, getrocknet	272	1154	3,5	41,2	1,4	22,9
Erdnuss ohne Schale	567	2350	1	8,3	48,1	25,3
Erdnuss, gesalzen und mit Öl geröstet	585	2424	1	9,4	49,4	25,6
Erdnuss, gesalzen und ohne Öl geröstet	556	2308	1	15	44	25
Erdnussbutter, Erdnussmus, Erdnusscreme	625	2642	1	12,2	50	26,1
Esrom (dänischer Schnittkäse)	337	1417	0	1	25	24
Estragon, getrocknet	363	1523	4,5	50	7	22
Fasan, mit Haut (roh)	154	646	0	0	6,6	23,8
Flunder, geräuchert, Räucherfisch	117	493	0	0	2	23,5
Forellen-Filets, geräuchert (Bachforellen, Räucherfisch)	167	705	0	0	4,5	31,7
Gans, Keule (Gänsekeule) (roh)	157	657	0	0	7,5	22,3
Gänseleberpastete	259	1086	0	4	17	20
Geflügelkrakauer	145	607	0	1	2	29
Geflügel-Mortadella	185	778	0	1	10	21
Geflügelsalami, Geflügel-Salami	398	1672	0	2	32	22
Geflügelwurst (Putenwurst, Putenwürstchen, Trutenwurst, Trutenwürstchen, Hähnchenwurst)	246	1030	0	0,4	18,3	20,4
Geheimratskäse	395	1650	0	0	25	27
Geselchtes, heißgeräuchertes Schweinefleisch (bayerische, österreichische Spezialität)	280	1170	0	0	16	34
Glutamat (Geschmacksverstärker)	416	1746	0	0	0	99
Goldbrassen, Doraden (roh)	127	538	0	0	5,3	20
Goldleinsamen, goldgelbe Leinsaat, (ganz oder als Leinsamenmehl)	391	1641	0	0	31	24,4
Goldmakrelen, tropische Dorade, Mahi-Maki, Dolphin-Fisch (Filet) (roh)	123	515	0	0	1	38
Gouda 40 % Fett in Trockenmasse	299	1242	0	0	22,3	24,5
Gouda 45 % Fett in Trockenmasse	326	1352	0	0	25,5	24
In 100 Gramm	kcal	 kjoule	 BE	 KH (g)	 F (g)	 EW (g)
Gouda 50 % Fett in Trockenmasse	355	1473	0	0	29,6	22,2
Gouda light, fettreduziert, 20 % Fett in Trockenmasse	219	922	0	0	11,4	27
Gouda, alt ca.50 % Fett in Trockenmasse	447	1789	0	0	35	29
Gouda, mittelalt 48 % Fett in Trockenmasse	401	1686	0	0	32,1	24,5
Granat-Splitter, Hackstock-Kratze, Punsch-Berg Bären-Haufen	362	1519	1	11	25	20
Greyerzer Käse 50 % Fett i. Tr.	421	1782	0	0	32,2	29
Großlochkäse, 45 % Fett in Trockenmasse	374	1572	0	0,1	28	27
Grünländer Käse 48 % Fett i. Tr.	396	1662	0	0	29	30
Grünländer Käse leicht 23 % Fett i. Tr.	256	1076	0	0	14	30
Gruyère Käse 50 % Fett i. Tr.	392	1648	0	0	32	27
Gyros, Giros (Schweinefleisch)	200	838	0,5	3,5	11,1	20
Hähnchen-Kasseler (roh)	109	557	0	0,5	2	21
Hähnchen, gegrillt (Chicken, Poulet, Hühnerfleisch, Broiler, Grillhähnchen, Brathähnchen, Brathühnchen, Brathendl, Grillhendl, Brathuhn, Grillhuhn)	228	952	0	0	14	25,5
Hähnchen-Geschnetzeltes, Hähnchengyros	130	544	0	1	4	21
Hähnchenkeulen, Hähnchenschenkel, Broilerkeule, Hähnchenschlegel, Hähnchenbollen, Hühnerbeine, Hühnerkeulen (Chicken, Poulet, Hühnerfleisch)	241	1006	0	0	15	26,5
